,trip_id,route_id,stop_id,vehicle_id,time_of_day,date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time
39,CA_A6-Weekday-SDon-043500_X1011_315,X11,400070,2645.0,12:30:00,20160127.0,3039.38802083,16.0,3375.49365452,3802.5511811
40,MA_A6-Weekday-SDon-044500_X1011_603,X11,400070,2890.0,12:30:00,20160127.0,1300.84446809,20.0,3646.2167049,4220.6048442
41,MA_A6-Weekday-SDon-042500_X1011_602,X11,400070,2631.0,12:30:00,20160127.0,6190.37354839,7.0,2594.16531353,3519.97240974
42,CA_A6-Weekday-SDon-041000_X1011_309,X11,400070,2648.0,12:30:00,20160127.0,10291.4931915,3.0,1639.31609371,2242.41189073
43,CA_A6-Weekday-SDon-041000_X1011_309,X11,201950,2648.0,12:10:00,20160127.0,4214.61142857,1.0,43.1578516573,44.8031065932
44,MA_A6-Weekday-SDon-042500_X1011_602,X11,201950,2631.0,12:15:00,20160127.0,1216.28232558,8.0,577.473293056,580.09831394
45,MA_A6-Weekday-SDon-042500_X1011_602,X11,201950,2631.0,12:20:00,20160127.0,3243.37625,3.0,223.385780705,280.09831394
46,CA_A6-Weekday-SDon-043500_X1011_315,X11,201950,2645.0,12:25:00,20160127.0,1047.35903226,8.0,549.732381153,547.590188232
47,MA_A6-Weekday-SDon-044500_X1011_603,X11,201950,2890.0,12:25:00,20160127.0,11.94,11.0,787.733140701,1055.16508719
48,CA_A6-Weekday-SDon-043500_X1011_315,X11,201950,2645.0,12:30:00,20160127.0,3039.38802083,4.0,320.637202257,247.590188232
49,MA_A6-Weekday-SDon-044500_X1011_603,X11,201950,2890.0,12:30:00,20160127.0,1300.84446809,8.0,591.360252631,755.165087187
50,CA_A6-Weekday-SDon-045500_X1011_318,X11,202669,2581.0,12:20:00,20160127.0,60.796933423,4.0,259.803537405,1468.92499897
51,CA_A6-Weekday-SDon-045500_X1011_318,X11,202669,2581.0,12:25:00,20160127.0,268.059206456,4.0,349.398441387,1168.92499897
52,CA_A6-Weekday-SDon-043500_X1011_315,X11,202669,2645.0,12:25:00,20160127.0,1047.35903226,1.0,0.683004369955,99.1836173579
53,MA_A6-Weekday-SDon-044500_X1011_603,X11,202669,2890.0,12:25:00,20160127.0,11.94,4.0,238.683763918,337.0
54,CA_A6-Weekday-SDon-045500_X1011_318,X11,202669,2581.0,12:30:00,20160127.0,475.321479489,3.0,169.086613277,868.924998965
55,MA_A6-Weekday-SDon-044500_X1011_603,X11,202669,2890.0,12:30:00,20160127.0,1300.84446809,1.0,42.3108758479,37.0
56,CA_A6-Weekday-SDon-036300_X14_304,X14,402144,2661.0,12:00:00,20160127.0,24206.7245045,11.0,1509.09585552,1029.90848551
57,CA_A6-Weekday-SDon-037800_X14_305,X14,402144,2224.0,12:00:00,20160127.0,13415.8735047,19.0,3061.86866885,2677.00463679
